rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas,rc_deg,rt_deg,all_names
211,UPK_21,282.920318,-15.174112,19.388062,-6.908,563.6,8.755,103,6.08,0.61801,1.1999,8.669,1.429,7.7968,0.6942,1.6785,0.325236,3.823310,"Theia_1234,UPK_21"
212,CWNU_144,332.29413,50.896795,98.648504,-4.162,1229.5,10.4487,107,13.215,0.61578,1.1912,8.246,0.596,1.9841,-0.4369,0.7731,0.776873,1.897884,CWNU_144
213,Casado-Alessi_1,13.354523,49.548113,123.261996,-13.32,664.9,9.1138,159,7.132,0.6145,1.1863,8.874,0.206,6.4703,-6.4022,1.4102,0.639009,2.036757,"Alessi_1,CA_1,Casado-Alessi_1,Casado_Alessi_1,LeDrew_1,MWSC_88,Theia_1254"
214,Trumpler_10,131.936731,-42.533801,262.838072,0.5994,421.0,8.1216,1425,4.456,0.60636,1.1551,7.565,0.084,-12.3798,6.5707,2.2954,1.378266,1.378266,Trumpler_10
215,Theia_836,289.303301,18.419745,52.210983,2.827,534.6,8.6402,110,5.611,0.60135,1.1361,8.017,1.344,0.4686,-8.3216,1.8071,1.318151,1.318151,Theia_836
216,Theia_3127,144.752597,-54.070705,277.026249,-1.175,1513.4,10.8998,172,15.872,0.60088,1.1343,8.477,0.496,-8.2357,5.7619,0.6228,0.756919,1.889804,"Theia_2145,Theia_2310,Theia_2765,Theia_3127,Theia_3439,Theia_4547,Theia_4603"
217,ASCC_113,317.962596,38.545305,82.824506,-6.669,538.1,8.6544,491,5.605,0.59676,1.1188,8.265,0.108,0.8278,-3.6864,1.771,0.502694,2.343756,"ASCC_113,MWSC_3480,Theia_461"
218,Teutsch_38,131.744831,-37.853761,259.097299,3.419,634.0,9.0105,182,6.601,0.59655,1.118,7.299,0.182,-8.4794,3.6575,1.4955,0.675157,1.959505,"ASCC_49,MWSC_1569,Teutsch_38"
219,HSC_2824,255.206161,-46.682177,340.405219,-2.773,1149.2,10.3019,157,11.873,0.59193,1.1007,7.356,3.173,1.3997,-3.854,0.8231,1.068879,1.068879,HSC_2824
220,Collinder_350,267.064963,1.417618,26.875818,14.68,351.0,7.7262,283,3.623,0.59138,1.0987,8.393,1.213,-4.8691,-0.0662,2.6855,0.642330,1.908804,"Collinder_350,MWSC_2700,OCL_75,Theia_919"
221,CWNU_182,135.848619,-43.869642,265.701374,1.91,899.6,9.7704,102,9.255,0.58941,1.0914,8.024,1.434,-8.9738,5.7187,1.0635,0.727361,1.835067,"CWNU_182,Theia_1081,Theia_3374"
222,UPK_104,307.67519,31.922836,72.342312,-4.354,804.9,9.5287,104,8.218,0.58498,1.075,8.157,0.363,3.7674,1.5783,1.1773,1.082764,1.082764,UPK_104
223,Theia_1082,193.651707,-58.959889,303.341372,3.909,803.9,9.5261,110,8.189,0.58361,1.07,8.2,0.36,-9.8829,-3.3995,1.1787,0.506408,2.256682,Theia_1082
224,Alessi_36,106.565126,-37.595939,248.544082,-13.45,278.2,7.2218,198,2.824,0.58153,1.0624,7.461,0.143,-9.6693,7.0461,3.5982,0.632004,2.044063,"Alessi_36,FoF_2385,LP_2385,UBC_7"
225,Blanco_1,0.914984,-30.010616,14.75758,-79.13,236.6,6.8703,841,2.391,0.57886,1.0527,8.239,0.057,18.7245,2.5926,4.2318,0.736806,1.841029,"Blanco_1,ESO_409-9,MWSC_7,OCL_43,zeta_Scl"
226,CWNU_1138,206.911889,-59.633036,309.989276,2.466,475.9,8.3875,104,4.792,0.57697,1.0458,7.916,0.472,-13.8661,-6.1562,2.0118,0.661845,1.803822,"CWNU_1138,HIP_67014_Group,MWSC_2150,Platais_10,Theia_737"
227,UBC_17a,84.775775,-1.932441,206.241355,-16.95,348.8,7.7131,102,3.506,0.57592,1.042,6.665,0.236,1.8006,-1.2985,2.7709,0.692889,1.799032,"Theia_13,UBC_17a"
228,CWNU_275,266.370119,-40.815694,349.807379,-6.135,1153.5,10.31,140,11.508,0.57161,1.0265,7.566,0.689,2.6743,-2.2198,0.8178,0.761953,1.727574,"CWNU_275,Theia_1889,Theia_5705"
229,NGC_225,10.980729,61.79331,122.043898,-1.065,658.5,9.0928,246,6.566,0.57128,1.0253,7.97,0.765,-5.361,-0.2427,1.4368,0.213475,5.109298,"Collinder_7,MWSC_68,NGC_225,OCL_305,Theia_747"
230,Collinder_140,110.802402,-32.01159,244.953262,-7.899,373.5,7.8616,203,3.724,0.57123,1.0251,7.237,0.095,-8.0882,4.7565,2.5906,0.597340,2.001270,Collinder_140
231,Chamaleon_I,167.116999,-77.499459,297.326163,-15.76,191.4,6.41,192,1.897,0.56769,1.0124,6.753,2.158,-22.5554,0.4376,5.261,0.459766,2.526518,"Chamaleon_I,OC_0579,Theia_2"
232,ASCC_51,140.396727,-69.855294,286.587737,-13.97,529.4,8.619,172,5.207,0.56351,0.9976,8.1,0.073,-7.613,7.9636,1.8183,0.246415,4.263680,"ASCC_51,MWSC_1647,Theia_185,Theia_245,Theia_966,UBC_260"
233,Stock_1,293.984536,25.188323,60.237378,2.216,384.3,7.9232,290,3.771,0.56224,0.9931,8.412,0.338,6.0606,0.2184,2.4591,0.672289,1.697619,"OCL_127,Stock_1,Theia_821"
234,NGC_1662,72.113998,10.90376,187.724788,-21.13,389.0,7.9499,384,3.773,0.55563,0.9699,8.538,0.928,-1.1538,-1.9664,2.4386,0.460092,2.196747,"Collinder_55,MWSC_425,NGC_1662,OCL_470,Theia_1018"
235,UPK_166,339.202543,47.007967,100.374349,-9.882,640.7,9.0334,385,6.14,0.54904,0.947,7.213,0.183,-0.9373,-3.3023,1.5214,0.482659,2.161683,UPK_166
236,Theia_6166,329.28439,50.178717,96.681376,-3.594,1717.5,11.1745,147,16.296,0.54361,0.9284,8.532,0.533,-1.4663,-1.3438,0.5506,0.969972,1.473043,"Theia_2503,Theia_3978,Theia_6166"
