rank,Name,RA_deg,Dec_deg,GLON_deg,GLAT_deg,dist_pc,dist_mod_mag,N_stars,r50_pc,r50_deg,area_sqdeg,logAge_yr,AV_mag,pmRA_masyr,pmDec_masyr,parallax_mas
78,UBC_32,279.321757,-14.003027,18.865318,-3.271,275.2,7.1985,393,6.538,1.36085,5.8179,7.886,1.026,-1.8081,-9.2289,3.4984
79,Theia_391,356.219398,55.169532,113.457742,-6.473,430.5,8.1697,112,10.088,1.34246,5.6618,8.165,0.411,5.1976,-4.4563,2.2064
80,CWNU_232,92.346339,-2.994191,210.797319,-10.72,472.2,8.3704,138,11.056,1.34134,5.6523,8.113,0.225,0.1082,-2.9958,2.0294
81,HSC_2505,185.021,-64.096672,299.515233,-1.433,104.6,5.0973,119,2.432,1.33219,5.5755,6.844,0.213,-37.7886,-10.811,9.3523
82,Theia_35,107.597315,-19.414267,232.351044,-4.717,397.7,7.9978,156,9.244,1.33146,5.5694,7.478,0.14,-8.0616,3.7016,2.377
83,CWNU_1074,295.903272,6.412617,44.699218,-8.551,708.2,9.2508,217,16.337,1.32146,5.486,7.561,0.635,0.355,-2.0365,1.3384
84,Theia_38,291.745192,21.116555,55.674245,2.065,486.8,8.4367,1108,11.199,1.31792,5.4567,6.762,0.772,1.1809,-6.1011,1.9807
85,Aveni-Hunter_1,354.262581,48.490096,110.425797,-12.57,411.8,8.0733,197,9.465,1.31682,5.4475,7.056,0.467,0.038,-2.7408,2.3612
86,HSC_2280,148.779758,-56.261361,280.195983,-1.381,538.7,8.6568,113,12.237,1.30125,5.3195,8.144,0.256,-18.5908,11.2288,1.764
87,HSC_2907,244.77266,-24.450059,351.860078,18.12,151.7,5.9047,349,3.402,1.28487,5.1864,6.99,0.551,-10.6786,-21.702,6.3614
88,UPK_214,357.175511,53.511289,113.584296,-8.218,776.7,9.4513,184,17.271,1.27381,5.0975,8.003,0.546,0.8285,-0.8227,1.2079
89,OC_0185,332.741358,63.395938,106.067865,5.907,901.5,9.7748,356,19.857,1.26182,5.002,6.809,1.119,-1.301,-2.4861,1.0768
90,HSC_601,305.074306,38.460707,76.458143,1.153,582.3,8.8258,120,12.641,1.24353,4.8581,7.887,0.22,2.0949,-1.5598,1.6589
91,Theia_817,274.950451,24.606258,52.127692,17.53,350.4,7.7228,120,7.587,1.24032,4.833,8.291,0.252,-2.0179,1.299,2.7574
92,CWNU_1020,135.00604,-54.509951,273.337788,-5.529,432.2,8.1785,171,9.337,1.23754,4.8114,7.534,0.158,-10.5877,7.6075,2.2443
93,Theia_58,120.216335,-30.749836,247.818587,-0.2845,480.1,8.4067,288,10.357,1.23573,4.7973,7.373,0.151,-8.8162,5.5197,2.0381
94,Platais_3,68.405613,71.489361,138.720539,15.82,177.0,6.2403,204,3.781,1.22338,4.7019,8.243,0.101,3.7671,-20.6812,5.6224
95,HSC_1284,72.943042,40.854682,163.931066,-2.146,1072.5,10.152,105,22.661,1.2104,4.6027,8.68,0.806,1.6353,-5.7705,0.87
96,UBC_4,60.658199,35.561155,161.096983,-12.78,569.8,8.7786,117,12.029,1.20939,4.595,8.315,0.741,-0.7169,-5.7278,1.669
97,NGC_6882,302.897211,26.750744,65.705974,-3.845,460.3,8.3153,114,9.635,1.19908,4.5169,7.918,0.31,1.7191,-9.2149,2.0891
98,UPK_560,158.35991,-44.503258,278.563936,11.74,577.0,8.8059,162,11.925,1.18394,4.4036,8.431,0.111,-12.4088,4.031,1.6707
99,UPK_627,245.369919,-53.132734,331.384249,-2.282,500.6,8.4975,106,10.343,1.18358,4.401,8.177,0.299,-2.4896,-10.1671,1.8845
100,Melotte_22,56.679783,24.108454,166.524955,-23.57,131.2,5.5903,1721,2.696,1.17701,4.3522,8.085,0.102,19.9552,-45.4567,7.3783
101,OC_0279,58.547047,31.923037,162.271092,-16.65,277.5,7.2162,146,5.684,1.17343,4.3258,7.23,0.664,6.3001,-9.7973,3.527
102,OCSN_40,358.857837,56.484493,115.218179,-5.546,398.0,7.9993,169,8.122,1.16908,4.2938,6.971,0.271,7.9219,-3.1256,2.4635
103,BH_23,123.447754,-36.356223,253.990677,-1.047,422.3,8.1281,300,8.517,1.15541,4.194,6.974,0.112,-7.183,7.3168,2.2956
104,Theia_3397,113.940262,-25.526587,240.513823,-2.415,1049.5,10.1048,207,21.152,1.15468,4.1886,7.781,0.089,-4.8873,4.0113,0.9295
105,Alessi_3,109.186703,-46.680282,257.935532,-15.33,268.2,7.1419,186,5.379,1.14918,4.1488,8.796,0.108,-9.7933,11.9159,3.5748
106,ZHBJZ_1,103.946607,-5.791223,218.581987,-1.674,285.5,7.2781,490,5.676,1.13887,4.0747,7.13,0.18,-7.318,-2.4448,3.4908
107,IC_2602,160.973083,-64.393236,289.686591,-4.853,148.4,5.857,638,2.948,1.1383,4.0706,7.415,0.114,-17.775,10.6692,6.6003
108,Theia_172,110.276901,4.081529,212.6638,8.457,450.9,8.2706,322,8.822,1.12075,3.9461,8.085,0.091,-6.4593,-5.0357,2.1126
109,Theia_181,234.545862,-64.856952,319.490803,-7.492,528.1,8.6134,190,10.225,1.10928,3.8658,8.051,0.23,-4.0072,-5.276,1.7892
110,Alessi-Teutsch_9,51.862769,34.886477,155.776909,-17.85,629.7,8.9957,200,12.193,1.10923,3.8654,7.891,0.702,-1.853,-1.3587,1.5073
111,Theia_6999,89.656672,20.20594,189.01831,-1.906,1736.9,11.1988,107,32.832,1.08293,3.6843,7.438,1.433,0.95,-2.5422,0.5301
112,UPK_540,115.516421,-58.66152,270.932378,-16.74,363.3,7.8015,124,6.821,1.07549,3.6338,7.302,0.249,-4.8409,7.6892,2.7178
113,UBC_26,285.426348,22.113399,53.860492,7.743,576.6,8.8045,479,10.719,1.06495,3.5629,7.401,0.871,1.968,-5.2638,1.6701
114,UPK_422,87.963841,-7.390082,212.826261,-16.59,290.8,7.3176,240,5.4,1.06404,3.5568,7.172,0.276,0.1711,-0.6089,3.3668
115,Platais_12,207.91946,-63.453825,309.602228,-1.365,428.4,8.1593,290,7.912,1.05802,3.5167,8.168,0.233,-8.3096,-5.4091,2.219
116,OCSN_89,186.450119,-65.883465,300.313713,-3.142,398.6,8.0027,161,7.241,1.0407,3.4025,7.572,0.727,-13.751,-2.6849,2.4097
117,Alessi_34,120.062337,-50.655175,264.881789,-10.71,471.8,8.3686,857,8.546,1.03779,3.3835,7.315,0.555,-5.0097,5.7432,2.0451
118,UPK_442,97.852235,-12.557329,221.969013,-10.08,613.2,8.9378,121,11.103,1.0374,3.381,7.833,0.221,-2.551,-1.3398,1.5386
119,Theia_100,346.887604,46.067943,104.754384,-13.1,463.0,8.3277,125,8.261,1.02227,3.2831,7.194,0.332,-0.8257,-3.1428,2.0655
120,LISC_3534,12.087711,49.905611,122.421879,-12.96,439.0,8.2121,430,7.793,1.01712,3.2501,8.172,0.145,7.3681,-3.0816,2.1887
121,ASCC_127,347.302131,65.182909,112.468264,4.409,365.7,7.8154,247,6.468,1.01333,3.2259,7.085,0.294,7.4097,-1.6454,2.6554
122,UPK_524,105.182696,-55.242457,265.408151,-20.74,523.7,8.5954,102,9.228,1.00947,3.2013,8.072,0.17,-2.7838,8.6466,1.7903
123,NGC_2632,130.088104,19.665873,205.915832,32.47,184.2,6.3263,1314,3.244,1.00909,3.1989,8.539,0.159,-35.9435,-12.903,5.4041
124,OCSN_28,324.419027,50.891094,94.762156,-1.066,429.6,8.1655,116,7.438,0.99184,3.0905,7.257,0.236,3.8807,-2.1211,2.2803
125,CWNU_45,108.099378,-27.983833,240.257118,-8.174,591.8,8.861,225,10.244,0.99164,3.0893,7.52,0.128,-3.1389,6.2754,1.6128
126,Collinder_69,83.814176,9.888055,195.107686,-11.99,383.4,7.918,1247,6.628,0.99043,3.0817,6.719,0.416,1.2149,-2.0466,2.5039
127,UPK_640,249.69239,-39.507143,343.339617,4.909,174.5,6.2091,764,3.006,0.98688,3.0597,6.983,0.244,-11.8825,-21.3905,5.706
128,ASCC_99,282.171819,-18.384065,16.165475,-7.682,291.8,7.3253,193,5.013,0.98437,3.0442,7.95,0.691,5.2475,-1.3071,3.281
129,Roslund_6,307.593307,40.355905,79.129447,0.659,338.1,7.6451,452,5.794,0.98181,3.0283,8.225,0.07,5.9498,2.1304,2.8313
130,ASCC_90,264.761967,-34.817364,354.265534,-1.913,551.1,8.7063,184,9.418,0.97903,3.0112,8.612,0.684,-1.5286,-2.6551,1.7064
131,CWNU_1053,162.41937,-56.607556,286.726628,2.384,508.0,8.5295,142,8.675,0.97827,3.0065,8.18,0.15,-17.2134,6.2187,1.8755
132,Theia_517,322.830507,48.349132,92.287138,-2.249,291.3,7.3218,511,4.919,0.96742,2.9402,8.102,0.065,-7.4004,-19.704,3.3658
133,Collinder_132,108.346159,-30.970532,243.062534,-9.305,630.8,8.9995,106,10.612,0.96376,2.918,7.142,0.123,-4.1255,3.7273,1.5251
134,UPK_579,193.30152,-50.832421,303.217391,12.04,683.2,9.1726,131,11.46,0.961,2.9013,8.226,0.144,-10.5768,-3.2994,1.3669
135,UPK_167,336.661606,49.515769,100.214246,-6.862,523.4,8.5941,198,8.765,0.9594,2.8917,8.093,0.228,1.5399,-0.1376,1.7963
136,Theia_314,314.635528,16.419438,63.513536,-18.7,352.1,7.7334,101,5.864,0.95403,2.8594,8.019,0.157,5.4654,-4.5647,2.7156
137,RSG_4,287.695654,56.522777,87.183648,19.81,317.7,7.5101,280,5.253,0.94717,2.8184,8.048,0.062,-2.4887,3.7339,3.0858
138,UPK_5,273.210189,-18.326098,12.298409,-0.1009,531.2,8.6262,156,8.693,0.93757,2.7616,7.917,0.632,0.6823,-8.4474,1.7645
139,HSC_888,349.61391,60.69589,111.794011,-0.1493,968.9,9.9314,243,15.703,0.92855,2.7087,8.295,1.312,-3.2054,-4.4218,0.977
140,NGC_2451A,115.970672,-38.240755,252.50072,-7.104,194.3,6.4426,407,3.146,0.92755,2.7029,7.416,0.044,-20.9872,15.3272,5.1957
141,Theia_189,97.786696,5.431453,205.782568,-2.016,874.9,9.7097,104,14.154,0.9269,2.6991,8.402,0.211,-1.5863,-3.4083,1.079
142,CWNU_1084,302.546793,33.489951,71.18967,0.0893,313.7,7.4828,156,5.059,0.92392,2.6817,8.024,0.091,5.0481,-0.3881,3.1039
143,Theia_470,301.878878,35.457784,72.543562,1.62,648.8,9.0607,249,10.445,0.9223,2.6723,8.255,0.315,1.0511,-1.7831,1.4668
144,UPK_537,125.64578,-51.569262,267.551338,-8.219,581.4,8.8222,125,9.351,0.92154,2.668,7.789,0.699,-6.4919,7.7164,1.6371
145,Alessi_96,75.485171,37.487544,167.795309,-2.705,315.3,7.4939,339,5.055,0.91837,2.6496,8.316,0.362,0.9712,-12.5614,3.0534
146,UPK_535,126.56812,-50.083356,266.647037,-6.898,315.0,7.4912,100,5.028,0.91463,2.6281,7.343,0.135,-13.0247,3.3454,3.1497
147,Alessi_37,341.970691,46.290171,101.713719,-11.43,693.5,9.2051,396,11.017,0.91023,2.6028,8.096,0.411,0.3348,-1.6432,1.3838
148,Alessi_9,265.642387,-46.744008,344.400106,-8.718,209.6,6.6072,310,3.26,0.89101,2.4941,8.614,0.116,9.8309,-9.1509,4.7783
149,NGC_1901,79.288369,-68.440914,279.051038,-33.7,399.6,8.008,231,6.125,0.87822,2.423,8.451,0.124,1.7031,12.701,2.3666
150,COIN-Gaia_9,47.714294,48.029669,145.670339,-8.591,846.7,9.6387,193,12.936,0.87528,2.4068,8.175,0.926,-2.0355,-3.0726,1.1134
151,Theia_850,26.424314,66.867569,128.235639,4.556,590.8,8.857,121,9.017,0.87447,2.4024,7.574,1.739,-5.5765,-0.3833,1.6069
152,Theia_546,110.171896,-4.380257,220.18354,4.481,497.4,8.4835,102,7.581,0.87326,2.3957,8.466,0.095,-2.136,-3.7115,1.91
153,Theia_667,352.48576,63.992623,114.142494,2.52,750.6,9.3769,202,11.233,0.85741,2.3096,8.093,0.948,-4.8834,-4.7628,1.2492
154,UPK_639,261.039058,-46.631923,342.796974,-5.988,667.1,9.121,145,9.927,0.85254,2.2834,8.678,0.392,0.9556,-9.2411,1.4018
155,Theia_1654,106.25871,-10.381528,223.713032,-1.734,1174.6,10.3494,271,17.473,0.85228,2.282,7.401,0.93,-3.1561,0.8495,0.8002
156,Collinder_338,264.579858,-37.634403,351.800339,-3.289,627.8,8.9889,292,9.261,0.84519,2.2442,8.061,0.523,2.5509,-1.826,1.4893
157,ASCC_128,350.161423,54.573361,109.934659,-5.991,636.6,9.0192,203,9.301,0.83708,2.2013,8.044,0.325,1.1846,0.1135,1.5031
158,UPK_567,160.950978,-67.519797,291.166774,-7.612,616.0,8.948,138,8.989,0.83601,2.1957,8.614,0.431,-6.4026,0.1974,1.5606
159,Theia_1722,52.932953,60.132976,141.66131,3.226,1055.6,10.1175,358,14.984,0.81325,2.0777,7.164,1.59,-1.9574,-0.755,0.9051
160,Theia_96,305.286815,48.924703,85.210508,6.929,345.2,7.6905,140,4.888,0.81113,2.0669,7.338,0.147,3.0297,1.9652,2.8457
161,Theia_1170,137.638832,-54.555104,274.393965,-4.42,639.6,9.0296,126,9.029,0.80879,2.055,8.208,0.169,-10.7462,8.2887,1.4926
162,HSC_2384,159.048682,-64.212054,288.865799,-5.099,528.0,8.6132,273,7.444,0.80771,2.0496,7.753,0.593,-16.865,1.6397,1.7756
163,Gulliver_20,273.839726,11.437752,39.2056,13.13,407.6,8.0512,126,5.722,0.80433,2.0325,8.407,0.192,1.018,-6.5635,2.3642
164,Theia_2999,89.050396,11.607668,196.215302,-6.681,1523.6,10.9144,117,21.37,0.80356,2.0286,8.788,0.318,-0.8802,-2.8752,0.6052
165,Theia_553,295.569852,17.830989,54.551022,-2.682,690.4,9.1956,188,9.681,0.80334,2.0274,7.954,1.0,0.7528,-6.7808,1.3914
166,Theia_980,188.222665,-65.193558,300.986586,-2.392,731.1,9.3199,126,10.187,0.79825,2.0018,8.012,1.118,-6.4352,-2.6809,1.3025
167,OCSN_27,321.607207,47.632545,91.199235,-2.205,409.8,8.0629,173,5.637,0.78812,1.9514,7.173,0.146,3.2572,-2.5057,2.4072
168,NGC_2451B,116.176122,-37.942074,252.317566,-6.817,360.5,7.7848,615,4.953,0.78711,1.9463,7.44,0.181,-9.4003,4.7444,2.6758
169,UBC_1455,131.001746,-54.129471,271.55461,-7.096,1348.1,10.6487,250,18.47,0.78495,1.9357,8.868,0.332,-3.5353,6.6362,0.7028
170,OCSN_77,112.661155,-12.539681,228.556134,2.803,515.4,8.5607,236,6.921,0.76937,1.8596,8.119,0.128,-5.7672,-1.0222,1.8248
171,Pismis_4,128.768955,-44.403668,262.903738,-2.363,660.9,9.1007,435,8.864,0.76835,1.8547,8.066,0.131,-8.2239,5.4039,1.4385
172,OC_0470,117.375015,-46.368271,260.197465,-10.14,383.5,7.9187,415,5.141,0.76815,1.8537,6.846,0.264,-4.684,8.9746,2.54
173,Melotte_186,270.317737,3.192636,30.036321,12.61,527.2,8.6098,339,7.027,0.76371,1.8323,7.155,0.409,0.6057,-8.8183,1.8123
174,RSG_8,345.45296,59.508795,109.424767,-0.457,474.6,8.3816,151,6.268,0.75671,1.7989,7.133,0.42,5.6637,-1.7157,2.057
175,HSC_734,327.731239,45.479075,92.916169,-6.613,1229.1,10.448,296,16.211,0.75563,1.7938,8.389,0.53,2.1783,-0.0582,0.7782
176,Theia_274,128.577748,-39.522418,258.906067,0.443,726.7,9.3069,448,9.518,0.75032,1.7687,8.097,0.206,-8.0556,5.6868,1.3007
